id,title,platform,post_text,category,correct_answer,difficulty,skill,red_flags,explanation,source_note
1,"Miracle health cure","News-style post","BREAKING: Doctors confirm that drinking lemon water for three days can cure diabetes naturally. Pharmaceutical companies do not want you to know this.","Health misinformation","Report","Medium","Source Verification","Unrealistic cure; no credible medical source; conspiracy framing; health risk","This should be reported because it makes a harmful medical claim without evidence. Medical claims need credible sources such as public health agencies, peer-reviewed research, or licensed professionals.","Scenario created for educational simulation; based on common misinformation patterns."
2,"Scholarship payment scam","Direct message","Congratulations! You were selected for a $10,000 international scholarship. Send a $75 processing fee today to unlock your award. Limited spots available.","Scam / phishing","Report","Easy","Scam Awareness","Requests money upfront; creates urgency; vague organization; too-good-to-be-true offer","This should be reported. Legitimate scholarships usually do not ask winners to pay a surprise fee through a direct message. The urgency and payment request are major warning signs.","Scenario created for educational simulation; based on common scholarship scam patterns."
3,"AI-generated disaster image claim","Social media post","This photo proves that a giant earthquake destroyed downtown last night. Share before the media deletes it!","AI / manipulated media","Doubt","Medium","Image Skepticism","Emotional urgency; no date/location proof; asks users to share; dramatic claim without source","This deserves doubt. A dramatic image alone is not enough evidence. Users should verify the event through credible news, official emergency accounts, and reverse image search before sharing.","Scenario created for educational simulation; does not use a real disaster image."
4,"Misleading statistic","Short-form video caption","90% of students who use AI fail their exams. Schools are hiding the truth.","Misleading statistics","Doubt","Medium","Critical Reasoning","No study cited; exaggerated statistic; vague group; fear-based wording","This is suspicious because it uses a precise statistic without naming a study, sample size, or source. Numbers can feel convincing even when they are unsupported.","Scenario created for educational simulation."
5,"Fake celebrity quote","Social post","Famous actor says: 'I never use vaccines because natural energy is enough.' This is why Hollywood is waking up.","Fake quote","Doubt","Easy","Source Verification","Quote has no original interview; appeals to celebrity authority; vague claim","This should be doubted. A quote needs a traceable source, such as an interview, verified account, or reputable publication. Celebrity authority does not replace evidence.","Scenario created for educational simulation."
6,"Real public safety alert","Official-style announcement","Local emergency services report heavy rain tonight. Avoid flooded streets and follow official updates from your city government account.","Trustworthy information","Trust","Easy","Source Verification","Clear source type; practical advice; no sensational claim; verifiable guidance","This is likely trustworthy because it gives practical safety advice, avoids exaggerated claims, and points users toward official updates. Still, users should verify the account or source.","Scenario created for educational simulation."
7,"Phishing password reset","Email","Your account will be deleted in 2 hours. Click this link immediately and enter your password to keep access.","Phishing","Report","Easy","Scam Awareness","Threatening deadline; asks for password; suspicious link behavior; panic language","This should be reported as phishing. Legitimate services rarely ask users to enter passwords through urgent links in threatening messages.","Scenario created for educational simulation; based on common phishing patterns."
8,"Manipulated screenshot rumor","Messaging app screenshot","Screenshot shows a school canceling all final exams. Someone sent it in a group chat, so it must be real.","Manipulated screenshot","Doubt","Medium","Image Skepticism","Screenshot can be edited; no official channel; relies on group chat rumor","This should be doubted. Screenshots are easy to edit or remove from context. Important school announcements should be verified through official channels.","Scenario created for educational simulation."
9,"Emotional manipulation post","Social media post","Only heartless people will ignore this. Share this post if you care about children. If you do not share, you are part of the problem.","Emotional manipulation","Doubt","Medium","Emotional Manipulation Detection","Guilt pressure; false moral choice; no evidence; manipulative call to share","This deserves doubt because it pressures users emotionally instead of providing evidence. Manipulation often tries to make people share before thinking.","Scenario created for educational simulation."
10,"Transparent scientific update","Science news summary","A new study suggests that sleep quality may affect memory in teenagers. Researchers say more studies are needed before drawing final conclusions.","Trustworthy information","Trust","Hard","Critical Reasoning","Careful language; acknowledges uncertainty; avoids extreme claim","This is likely trustworthy because it uses cautious language and acknowledges uncertainty. Responsible scientific communication usually avoids absolute conclusions from one study.","Scenario created for educational simulation."
